TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
MIA,MIA vs. MIN,03/12/2022,L,240,104,35,88,39.8,15,45,33.3,19,25,76,11,42,53,23,7,1,18,24,-9
GSW,GSW vs. MIL,03/12/2022,W,240,122,45,93,48.4,18,45,40,14,15,93.3,12,43,55,33,3,7,12,19,13
SAS,SAS vs. IND,03/12/2022,L,240,108,42,102,41.2,11,34,32.4,13,16,81.3,15,37,52,28,6,3,12,15,-11
MIL,MIL @ GSW,03/12/2022,L,240,109,38,92,41.3,17,44,38.6,16,23,69.6,8,31,39,27,8,2,5,16,-13
CLE,CLE @ CHI,03/12/2022,L,240,91,36,86,41.9,5,24,20.8,14,17,82.4,5,35,40,19,7,4,14,19,-10
UTA,UTA vs. SAC,03/12/2022,W,240,134,48,86,55.8,16,41,39,22,31,71,10,34,44,21,4,5,10,20,9
SAC,SAC @ UTA,03/12/2022,L,240,125,47,94,50,13,33,39.4,18,21,85.7,8,25,33,27,6,3,7,20,-9
IND,IND @ SAS,03/12/2022,W,240,119,45,92,48.9,14,36,38.9,15,15,100,9,38,47,23,6,10,13,20,11
ATL,ATL vs. LAC,03/11/2022,W,240,112,43,90,47.8,9,31,29,17,19,89.5,15,32,47,28,5,3,10,19,6
LAC,LAC @ ATL,03/11/2022,L,240,106,40,82,48.8,12,32,37.5,14,17,82.4,6,30,36,22,7,3,12,20,-6
UTA,UTA @ SAS,03/11/2022,L,240,102,37,92,40.2,13,40,32.5,15,23,65.2,16,41,57,20,10,8,17,26,-2
DET,DET @ BOS,03/11/2022,L,240,103,35,83,42.2,10,34,29.4,23,24,95.8,11,31,42,21,4,4,14,22,-11
BOS,BOS vs. DET,03/11/2022,W,240,114,42,90,46.7,6,32,18.8,24,30,80,13,34,47,23,10,3,9,19,11
CHA,CHA @ NOP,03/11/2022,W,240,142,52,87,59.8,22,47,46.8,16,20,80,6,32,38,41,11,1,14,23,22
NOP,NOP vs. CHA,03/11/2022,L,240,120,43,86,50,15,39,38.5,19,25,76,13,27,40,31,9,2,17,21,-22
CLE,CLE @ MIA,03/11/2022,L,240,105,35,79,44.3,8,25,32,27,29,93.1,7,33,40,25,5,2,18,23,-12
MIA,MIA vs. CLE,03/11/2022,W,240,117,41,86,47.7,11,35,31.4,24,27,88.9,8,34,42,28,9,6,9,26,12
NYK,NYK @ MEM,03/11/2022,L,240,114,38,90,42.2,10,25,40,28,37,75.7,15,39,54,23,8,6,16,31,-4
MEM,MEM vs. NYK,03/11/2022,W,240,118,46,104,44.2,9,26,34.6,17,29,58.6,19,35,54,23,8,16,10,27,4
DAL,DAL @ HOU,03/11/2022,W,240,113,40,88,45.5,11,36,30.6,22,28,78.6,12,35,47,20,6,8,14,21,13
HOU,HOU vs. DAL,03/11/2022,L,240,100,41,86,47.7,6,30,20,12,19,63.2,5,34,39,29,9,3,13,23,-13
ORL,ORL vs. MIN,03/11/2022,W,240,118,40,86,46.5,16,40,40,22,25,88,10,39,49,31,4,3,12,11,8
MIN,MIN @ ORL,03/11/2022,L,240,110,41,90,45.6,15,45,33.3,13,13,100,5,32,37,24,8,5,9,24,-8
PHX,PHX vs. TOR,03/11/2022,L,240,112,44,88,50,11,36,30.6,13,17,76.5,5,35,40,27,7,8,16,23,-5
TOR,TOR @ PHX,03/11/2022,W,240,117,42,94,44.7,14,32,43.8,19,21,90.5,12,36,48,19,11,4,17,19,5
