TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
MIA,MIA vs. SAS,04/28/2021,W,240,116,43,85,50.6,9,25,36,21,24,87.5,10,38,48,26,4,1,13,23,5
CHI,CHI @ NYK,04/28/2021,L,240,94,39,85,45.9,10,29,34.5,6,10,60,7,36,43,29,2,4,14,12,-19
PHI,PHI vs. ATL,04/28/2021,W,240,127,48,89,53.9,16,36,44.4,15,22,68.2,11,35,46,29,12,10,8,22,44
NYK,NYK vs. CHI,04/28/2021,W,240,113,42,91,46.2,12,27,44.4,17,19,89.5,9,32,41,27,10,9,4,16,19
SAC,SAC vs. UTA,04/28/2021,L,240,105,42,87,48.3,7,21,33.3,14,17,82.4,3,21,24,24,8,6,13,19,-49
LAL,LAL @ WAS,04/28/2021,L,240,107,42,96,43.8,10,34,29.4,13,21,61.9,13,28,41,31,10,8,10,20,-9
WAS,WAS vs. LAL,04/28/2021,W,240,116,47,90,52.2,6,18,33.3,16,21,76.2,10,40,50,24,6,4,14,20,9
OKC,OKC @ BOS,04/27/2021,W,240,119,39,81,48.1,13,30,43.3,28,36,77.8,10,41,51,25,5,3,27,24,4
HOU,HOU vs. MIN,04/27/2021,L,240,107,42,86,48.8,7,31,22.6,16,22,72.7,8,37,45,24,9,4,17,22,-7
BOS,BOS vs. OKC,04/27/2021,L,240,115,41,97,42.3,11,49,22.4,22,25,88,8,31,39,21,16,7,14,26,-4
MIL,MIL @ CHA,04/27/2021,W,240,114,47,93,50.5,9,35,25.7,11,14,78.6,9,39,48,28,13,3,15,24,10
POR,POR @ IND,04/27/2021,W,240,133,50,106,47.2,20,35,57.1,13,16,81.3,20,37,57,26,6,5,13,19,21
IND,IND vs. POR,04/27/2021,L,240,112,40,86,46.5,10,30,33.3,22,28,78.6,7,31,38,25,6,12,13,17,-21
BKN,BKN @ TOR,04/27/2021,W,240,116,40,83,48.2,18,45,40,18,18,100,7,34,41,30,9,6,11,20,13
TOR,TOR vs. BKN,04/27/2021,L,240,103,36,91,39.6,15,43,34.9,16,19,84.2,15,32,47,24,5,3,13,19,-13
GSW,GSW vs. DAL,04/27/2021,L,240,103,34,84,40.5,16,43,37.2,19,24,79.2,10,33,43,25,11,5,18,18,-30
DAL,DAL @ GSW,04/27/2021,W,240,133,48,92,52.2,18,35,51.4,19,22,86.4,9,41,50,21,9,4,13,19,30
CHA,CHA vs. MIL,04/27/2021,L,240,104,38,82,46.3,12,35,34.3,16,23,69.6,7,31,38,26,6,7,18,17,-10
MIN,MIN @ HOU,04/27/2021,W,240,114,45,93,48.4,10,38,26.3,14,25,56,12,36,48,29,10,6,14,20,7
CLE,CLE @ TOR,04/26/2021,L,240,96,36,83,43.4,10,38,26.3,14,16,87.5,9,28,37,25,6,3,14,16,-16
MEM,MEM @ DEN,04/26/2021,L,240,96,34,81,42,4,32,12.5,24,31,77.4,6,39,45,20,8,6,16,22,-24
TOR,TOR vs. CLE,04/26/2021,W,240,112,43,79,54.4,8,29,27.6,18,20,90,5,35,40,32,7,5,13,19,16
MIN,MIN vs. UTA,04/26/2021,W,240,105,37,83,44.6,16,44,36.4,15,21,71.4,8,40,48,29,7,4,16,21,1
LAL,LAL @ ORL,04/26/2021,W,240,114,47,87,54,11,31,35.5,9,14,64.3,9,35,44,23,8,5,12,18,11
UTA,UTA @ MIN,04/26/2021,L,240,104,37,95,38.9,16,57,28.1,14,19,73.7,16,33,49,24,9,6,11,18,-1
ORL,ORL vs. LAL,04/26/2021,L,240,103,36,76,47.4,11,25,44,20,24,83.3,4,24,28,16,5,3,11,18,-11
DEN,DEN vs. MEM,04/26/2021,W,240,120,45,94,47.9,11,33,33.3,19,22,86.4,8,40,48,25,8,3,11,20,24
CHI,CHI @ MIA,04/26/2021,W,240,110,41,77,53.2,11,29,37.9,17,22,77.3,9,42,51,33,3,4,18,21,8
MIA,MIA vs. CHI,04/26/2021,L,240,102,36,84,42.9,7,36,19.4,23,25,92,6,28,34,18,13,4,6,19,-8
WAS,WAS vs. SAS,04/26/2021,L,265,143,58,109,53.2,6,20,30,21,25,84,18,32,50,26,4,8,8,23,-3
SAS,SAS @ WAS,04/26/2021,W,265,146,55,103,53.4,6,17,35.3,30,35,85.7,13,31,44,27,6,1,6,21,3
NYK,NYK vs. PHX,04/26/2021,L,240,110,45,87,51.7,12,29,41.4,8,10,80,6,29,35,24,6,1,11,19,-8
PHX,PHX @ NYK,04/26/2021,W,240,118,45,83,54.2,14,34,41.2,14,17,82.4,5,32,37,23,5,6,12,13,8
ATL,ATL @ DET,04/26/2021,L,240,86,33,85,38.8,4,27,14.8,16,17,94.1,9,36,45,19,10,4,16,17,-14
DET,DET vs. ATL,04/26/2021,W,240,100,40,84,47.6,9,26,34.6,11,15,73.3,8,39,47,22,9,8,14,16,14
SAC,SAC vs. DAL,04/26/2021,W,240,113,42,81,51.9,13,29,44.8,16,18,88.9,11,35,46,23,6,4,18,15,7
OKC,OKC @ PHI,04/26/2021,L,240,90,35,78,44.9,7,30,23.3,13,23,56.5,11,27,38,21,11,1,30,16,-31
LAC,LAC @ NOP,04/26/2021,L,240,103,36,90,40,14,45,31.1,17,17,100,13,31,44,20,5,5,19,23,-17
NOP,NOP vs. LAC,04/26/2021,W,240,120,44,82,53.7,15,29,51.7,17,26,65.4,8,36,44,28,13,5,16,18,17
PHI,PHI vs. OKC,04/26/2021,W,240,121,47,86,54.7,14,31,45.2,13,18,72.2,10,31,41,27,22,7,21,19,31
DAL,DAL @ SAC,04/26/2021,L,240,106,43,92,46.7,12,42,28.6,8,14,57.1,14,26,40,24,9,2,10,15,-7
BKN,BKN vs. PHX,04/25/2021,W,240,128,46,87,52.9,13,28,46.4,23,27,85.2,11,33,44,30,6,4,11,17,9
CHA,CHA vs. BOS,04/25/2021,W,240,125,47,93,50.5,21,43,48.8,10,11,90.9,10,36,46,39,7,8,11,21,21
BOS,BOS @ CHA,04/25/2021,L,240,104,34,88,38.6,14,41,34.1,22,26,84.6,11,30,41,18,6,2,13,13,-21
ORL,ORL vs. IND,04/25/2021,L,240,112,40,101,39.6,10,32,31.3,22,28,78.6,15,36,51,22,9,3,7,14,-19
IND,IND @ ORL,04/25/2021,W,240,131,50,91,54.9,15,32,46.9,16,18,88.9,5,43,48,28,3,5,13,20,19
SAC,SAC @ GSW,04/25/2021,L,240,113,41,86,47.7,14,37,37.8,17,22,77.3,6,31,37,22,8,5,11,15,-4
ATL,ATL vs. MIL,04/25/2021,W,240,111,40,88,45.5,13,35,37.1,18,23,78.3,5,39,44,23,6,1,10,20,7
MIL,MIL @ ATL,04/25/2021,L,240,104,39,81,48.1,8,28,28.6,18,23,78.3,4,37,41,20,6,6,12,18,-7
POR,POR vs. MEM,04/25/2021,L,240,113,39,105,37.1,14,38,36.8,21,25,84,15,38,53,21,11,6,11,22,-7
GSW,GSW vs. SAC,04/25/2021,W,240,117,46,95,48.4,14,36,38.9,11,15,73.3,17,36,53,30,5,3,17,16,4
MEM,MEM @ POR,04/25/2021,W,240,120,42,91,46.2,12,23,52.2,24,28,85.7,8,46,54,22,9,7,15,22,7
PHX,PHX @ BKN,04/25/2021,L,240,119,43,90,47.8,12,34,35.3,21,25,84,15,28,43,22,5,3,12,24,-9
WAS,WAS vs. CLE,04/25/2021,W,240,119,43,89,48.3,12,31,38.7,21,26,80.8,10,26,36,25,11,6,10,21,9
